id, name, group, country, brand, color,thickness, width, length, priceEURO, weight, ultra
28,"СПК SOTON ""ELITE"" - 15 років кольоровий 20,00 мм",СПК,Україна,"SOTON ""ELITE"" - 15 років",кольоровий,"20,00","2100,00","6000,00","28,66","3,00",FALSE
29,"СПК Soton Titan прозорий 8,00 мм",СПК,Україна,Soton Titan,прозорий,"8,00","2100,00","6000,00","14,67","1,55",FALSE
30,"СПК Soton Titan прозорий 10,00 мм",СПК,Україна,Soton Titan,прозорий,"10,00","2100,00","6000,00","16,00","1,70",FALSE
31,"СПК Soton Titan кольоровий 8,00 мм",СПК,Україна,Soton Titan,кольоровий,"8,00","2100,00","6000,00","15,12","1,55",FALSE
32,"СПК Soton Titan кольоровий 10,00 мм",СПК,Україна,Soton Titan,кольоровий,"10,00","2100,00","6000,00","16,39","1,70",FALSE
33,"МПК Soton Titan прозорий 2,00 мм",МПК,Україна,Soton Titan,прозорий,"2,00","2050,00","3050,00","22,79","2,40",FALSE
34,"МПК Soton Titan прозорий 3,00 мм",МПК,Україна,Soton Titan,прозорий,"3,00","2050,00","3050,00","33,56","3,60",FALSE
35,"МПК Soton Titan прозорий 4,00 мм",МПК,Україна,Soton Titan,прозорий,"4,00","2050,00","3050,00","44,06","4,80",FALSE
36,"МПК Soton Titan прозорий 5,00 мм",МПК,Україна,Soton Titan,прозорий,"5,00","2050,00","3050,00","54,91","6,00",FALSE
37,"МПК Soton Titan прозорий 6,00 мм",МПК,Україна,Soton Titan,прозорий,"6,00","2050,00","3050,00","65,89","7,20",FALSE
38,"МПК Soton Titan прозорий 8,00 мм",МПК,Україна,Soton Titan,прозорий,"8,00","2050,00","3050,00","87,58","9,60",FALSE
39,"МПК Soton Titan прозорий 10,00 мм",МПК,Україна,Soton Titan,прозорий,"10,00","2050,00","3050,00","109,13","12,00",FALSE
40,"МПК Soton Titan прозорий 12,00 мм",МПК,Україна,Soton Titan,прозорий,"12,00","2050,00","3050,00","130,95","14,40",FALSE
41,"МПК Soton Titan кольоровий 2,00 мм",МПК,Україна,Soton Titan,кольоровий,"2,00","2050,00","3050,00","23,68","2,40",FALSE
42,"МПК Soton Titan кольоровий 3,00 мм",МПК,Україна,Soton Titan,кольоровий,"3,00","2050,00","3050,00","34,29","3,60",FALSE
43,"МПК Soton Titan кольоровий 4,00 мм",МПК,Україна,Soton Titan,кольоровий,"4,00","2050,00","3050,00","44,75","4,80",FALSE
44,"МПК Soton Titan кольоровий 5,00 мм",МПК,Україна,Soton Titan,кольоровий,"5,00","2050,00","3050,00","55,94","6,00",FALSE
45,"МПК Soton Titan кольоровий 6,00 мм",МПК,Україна,Soton Titan,кольоровий,"6,00","2050,00","3050,00","67,13","7,20",FALSE
46,"МПК Soton Titan кольоровий 8,00 мм",МПК,Україна,Soton Titan,кольоровий,"8,00","2050,00","3050,00","88,95","9,60",FALSE
47,"МПК Soton Titan кольоровий 10,00 мм",МПК,Україна,Soton Titan,кольоровий,"10,00","2050,00","3050,00","110,50","12,00",FALSE
48,"МПК Soton Titan кольоровий 12,00 мм",МПК,Україна,Soton Titan,кольоровий,"12,00","2050,00","3050,00","131,78","14,40",FALSE
49,"СПК Terner Plast Standart - 10 років прозорий 3,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"3,00","2100,00","6000,00","3,75","0,42",FALSE
50,"СПК Terner Plast Standart - 10 років прозорий 4,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"4,00","2100,00","6000,00","4,47","0,50",FALSE
51,"СПК Terner Plast Standart - 10 років прозорий 5,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"5,00","2100,00","6000,00","6,52","0,73",FALSE
52,"СПК Terner Plast Standart - 10 років прозорий 6,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"6,00","2100,00","6000,00","6,88","0,77",FALSE
53,"СПК Terner Plast Standart - 10 років прозорий 7,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"7,00","2100,00","6000,00","8,04","0,90",FALSE
54,"СПК Terner Plast Standart - 10 років прозорий 8,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"8,00","2100,00","6000,00","8,93","1,00",FALSE
55,"СПК Terner Plast Standart - 10 років прозорий 10,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,прозорий,"10,00","2100,00","6000,00","10,72","1,20",FALSE
56,"СПК Terner Plast Standart - 10 років кольоровий 3,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"3,00","2100,00","6000,00","3,94","0,42",FALSE
57,"СПК Terner Plast Standart - 10 років кольоровий 4,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"4,00","2100,00","6000,00","4,69","0,50",FALSE
58,"СПК Terner Plast Standart - 10 років кольоровий 5,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"5,00","2100,00","6000,00","6,85","0,73",FALSE
59,"СПК Terner Plast Standart - 10 років кольоровий 6,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"6,00","2100,00","6000,00","7,22","0,77",FALSE
60,"СПК Terner Plast Standart - 10 років кольоровий 7,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"7,00","2100,00","6000,00","8,44","0,90",FALSE
61,"СПК Terner Plast Standart - 10 років кольоровий 8,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"8,00","2100,00","6000,00","9,38","1,00",FALSE
62,"СПК Terner Plast Standart - 10 років кольоровий 10,00 мм",СПК,Сербія,Terner Plast Standart - 10 років,кольоровий,"10,00","2100,00","6000,00","11,26","1,20",FALSE
63,"СПК Terner Plast Premium - 10 років прозорий 4,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"4,00","2100,00","6000,00","5,36","0,60",FALSE
64,"СПК Terner Plast Premium - 10 років прозорий 6,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"6,00","2100,00","6000,00","7,59","0,85",FALSE
65,"СПК Terner Plast Premium - 10 років прозорий 8,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"8,00","2100,00","6000,00","9,83","1,10",FALSE
66,"СПК Terner Plast Premium - 10 років прозорий 10,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"10,00","2100,00","6000,00","11,61","1,30",FALSE
67,"СПК Terner Plast Premium - 10 років прозорий 16,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"16,00","2100,00","6000,00","20,55","2,30",FALSE
68,"СПК Terner Plast Premium - 10 років прозорий 16,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"16,00","2100,00","6000,00","21,44","2,40",FALSE
69,"СПК Terner Plast Premium - 10 років прозорий 20,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"20,00","2100,00","6000,00","24,12","2,70",FALSE
70,"СПК Terner Plast Premium - 10 років прозорий 25,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,прозорий,"25,00","2100,00","6000,00","28,59","3,20",FALSE
71,"СПК Terner Plast Premium - 10 років кольоровий 4,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"4,00","2100,00","6000,00","5,63","0,60",FALSE
